"","name","summary","doi","language","release_date","docs","tutorials","license","stars","source","Category","Citation_Count","apa_citation","author"
"84","landsepi","Landscape Epidemiology and Evolution","10.32614/CRAN.package.landsepi","R",2025-07-31,"https://cran.r-project.org/web/packages/landsepi/index.html","https://cran.r-project.org/web/packages/landsepi/vignettes","GPL (>= 2) | file LICENSE",NA,"CRAN","Phylogenetic and evolutionary analysis",2,"landsepi. (2025). Landscape Epidemiology and Evolution. R package version 1.5.2. https://doi.org/10.32614/CRAN.package.landsepi","Loup Rimbaud [aut] (ORCID: <https://orcid.org/0000-0002-8098-9984>),
  Marta Zaffaroni [aut] (ORCID: <https://orcid.org/0000-0002-2951-8626>),
  Jean-François Rey [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-3281-6701>),
  Julien Papaix [aut],
  Jean-Loup Gaussen [ctb],
  Manon Couty [ctb]"
"85","LDM","Testing Hypotheses About the Microbiome using the Linear
Decomposition Model","10.32614/CRAN.package.LDM","R",2023-09-07,"https://cran.r-project.org/web/packages/LDM/index.html","https://cran.r-project.org/web/packages/LDM/vignettes","GPL (>= 2)",NA,"CRAN","Metagenomics and community analysis",1,"LDM. (2023). Testing Hypotheses About the Microbiome using the Linear
Decomposition Model. R package version 6.0.1. https://doi.org/10.32614/CRAN.package.LDM","Yi-Juan Hu [aut, cre],
  Glen A Satten [aut]"
"86","lglasso","Longitudinal Graphical Lasso","10.32614/CRAN.package.lglasso","R",2022-01-15,"https://cran.r-project.org/web/packages/lglasso/index.html","https://cran.r-project.org/web/packages/lglasso/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"lglasso. (2022). Longitudinal Graphical Lasso. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.lglasso","Jie Zhou [aut, cre, cph],
  Jiang Gui [aut],
  Weston Viles [aut],
  Anne Hoen [aut]"
"87","lnmCluster","Perform Logistic Normal Multinomial Clustering for Microbiome
Compositional Data","10.32614/CRAN.package.lnmCluster","R",2022-07-20,"https://cran.r-project.org/web/packages/lnmCluster/index.html","https://cran.r-project.org/web/packages/lnmCluster/vignettes","GPL (>= 2)",NA,"CRAN","Metagenomics and community analysis",0,"lnmCluster. (2022). Perform Logistic Normal Multinomial Clustering for Microbiome
Compositional Data. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.lnmCluster","Wangshu Tu [aut, cre],
  Sanjeena Dang [aut],
  Yuan Fang [aut]"
"88","localIV","Estimation of Marginal Treatment Effects using Local
Instrumental Variables","10.32614/CRAN.package.localIV","R",2020-06-26,"https://cran.r-project.org/web/packages/localIV/index.html","https://cran.r-project.org/web/packages/localIV/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"localIV. (2020). Estimation of Marginal Treatment Effects using Local
Instrumental Variables. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.localIV","Xiang Zhou [aut, cre]"
"89","LorMe","Lightening One-Code Resolving Microbial Ecology Solution","10.32614/CRAN.package.LorMe","R",2025-03-14,"https://cran.r-project.org/web/packages/LorMe/index.html","https://cran.r-project.org/web/packages/LorMe/vignettes","GPL-3",NA,"CRAN","Specialized analysis",2,"LorMe. (2025). Lightening One-Code Resolving Microbial Ecology Solution. R package version 1.2.1. https://doi.org/10.32614/CRAN.package.LorMe","Ningqi Wang [aut, cre, cph],
  Yaozhong Zhang [aut],
  Gaofei Jiang [aut]"
"90","macrosyntR","Draw Ordered Oxford Grids and Chord Diagrams","10.32614/CRAN.package.macrosyntR","R",2023-11-14,"https://cran.r-project.org/web/packages/macrosyntR/index.html","https://cran.r-project.org/web/packages/macrosyntR/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"macrosyntR. (2023). Draw Ordered Oxford Grids and Chord Diagrams. R package version 0.3.3. https://doi.org/10.32614/CRAN.package.macrosyntR","Sami El Hilali [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-4417-8399>),
  Richard Copley [aut] (ORCID: <https://orcid.org/0000-0001-7846-4954>)"
"91","MANCIE","Matrix Analysis and Normalization by Concordant Information
Enhancement","10.32614/CRAN.package.MANCIE","R",2016-03-02,"https://cran.r-project.org/web/packages/MANCIE/index.html","https://cran.r-project.org/web/packages/MANCIE/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"MANCIE. (2016). Matrix Analysis and Normalization by Concordant Information
Enhancement. R package version 1.4. https://doi.org/10.32614/CRAN.package.MANCIE","Tao Wang, Chongzhi Zang"
"92","mbmixture","Microbiome Mixture Analysis","10.32614/CRAN.package.mbmixture","R",2024-11-27,"https://cran.r-project.org/web/packages/mbmixture/index.html","https://cran.r-project.org/web/packages/mbmixture/vignettes","MIT + file LICENSE",NA,"CRAN","Metagenomics and community analysis",0,"mbmixture. (2024). Microbiome Mixture Analysis. R package version 0.6. https://doi.org/10.32614/CRAN.package.mbmixture","Karl W Broman [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-4914-6671>)"
"93","mbX","A Comprehensive Microbiome Data Processing Pipeline","10.32614/CRAN.package.mbX","R",2025-07-23,"https://cran.r-project.org/web/packages/mbX/index.html","https://cran.r-project.org/web/packages/mbX/vignettes","MIT + file LICENSE",NA,"CRAN","Metagenomics and community analysis",0,"mbX. (2025). A Comprehensive Microbiome Data Processing Pipeline. R package version 0.2.0. https://doi.org/10.32614/CRAN.package.mbX","Utsav Lamichhane [aut, cre]"
"94","meconetcomp","Compare Microbial Networks of 'trans_network' Class of
'microeco' Package","10.32614/CRAN.package.meconetcomp","R",2025-02-24,"https://cran.r-project.org/web/packages/meconetcomp/index.html","https://cran.r-project.org/web/packages/meconetcomp/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"meconetcomp. (2025). Compare Microbial Networks of 'trans_network' Class of
'microeco' Package. R package version 0.6.1. https://doi.org/10.32614/CRAN.package.meconetcomp","Chi Liu [aut, cre],
  Minjie Yao [ctb],
  Xiangzhen Li [ctb]"
"95","mecoturn","Decipher Microbial Turnover along a Gradient","10.32614/CRAN.package.mecoturn","R",2025-07-24,"https://cran.r-project.org/web/packages/mecoturn/index.html","https://cran.r-project.org/web/packages/mecoturn/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"mecoturn. (2025). Decipher Microbial Turnover along a Gradient. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.mecoturn","Chi Liu [aut, cre],
  Xiangzhen Li [ctb],
  Minjie Yao [ctb]"
"96","MedDataSets","Comprehensive Medical, Disease, Treatment, and Drug Datasets","10.32614/CRAN.package.MedDataSets","R",2024-10-24,"https://cran.r-project.org/web/packages/MedDataSets/index.html","https://cran.r-project.org/web/packages/MedDataSets/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"MedDataSets. (2024). Comprehensive Medical, Disease, Treatment, and Drug Datasets. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.MedDataSets","Renzo Caceres Rossi [aut, cre]"
"97","MEGB","Gradient Boosting for Longitudinal Data","10.32614/CRAN.package.MEGB","R",2025-01-29,"https://cran.r-project.org/web/packages/MEGB/index.html","https://cran.r-project.org/web/packages/MEGB/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"MEGB. (2025). Gradient Boosting for Longitudinal Data. R package version 0.1. https://doi.org/10.32614/CRAN.package.MEGB","Oyebayo Ridwan Olaniran [aut, cre],
  Saidat Fehintola Olaniran [aut]"
"98","metaCluster","Metagenomic Clustering","10.32614/CRAN.package.metaCluster","R",2024-06-20,"https://cran.r-project.org/web/packages/metaCluster/index.html","https://cran.r-project.org/web/packages/metaCluster/vignettes","GPL-3",NA,"CRAN","Metagenomics and community analysis",0,"metaCluster. (2024). Metagenomic Clustering. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.metaCluster","Dipro Sinha [aut, cre],
  Sayanti Guha Majumdar [aut],
  Anu Sharma [aut],
  Dwijesh Chandra Mishra [aut],
  Md Yeasin [aut]"
"99","metacoder","Tools for Parsing, Manipulating, and Graphing Taxonomic
Abundance Data","10.32614/CRAN.package.metacoder","R",2025-02-11,"https://cran.r-project.org/web/packages/metacoder/index.html","https://cran.r-project.org/web/packages/metacoder/vignettes","GPL-2 | GPL-3",NA,"CRAN","Specialized analysis",0,"metacoder. (2025). Tools for Parsing, Manipulating, and Graphing Taxonomic
Abundance Data. R package version 0.3.8. https://doi.org/10.32614/CRAN.package.metacoder","Zachary Foster [aut, cre],
  Niklaus Grunwald [ths],
  Kamil Slowikowski [ctb],
  Scott Chamberlain [ctb],
  Rob Gilmore [ctb]"
"100","metamicrobiomeR","Microbiome Data Analysis & Meta-Analysis with GAMLSS-BEZI &
Random Effects","10.32614/CRAN.package.metamicrobiomeR","R",2020-11-09,"https://cran.r-project.org/web/packages/metamicrobiomeR/index.html","https://cran.r-project.org/web/packages/metamicrobiomeR/vignettes","GPL-2",NA,"CRAN","Metagenomics and community analysis",0,"metamicrobiomeR. (2020). Microbiome Data Analysis & Meta-Analysis with GAMLSS-BEZI &
Random Effects. R package version 1.2. https://doi.org/10.32614/CRAN.package.metamicrobiomeR","Nhan Ho [aut, cre]"
"101","metan","Multi Environment Trials Analysis","10.32614/CRAN.package.metan","R",2024-12-15,"https://cran.r-project.org/web/packages/metan/index.html","https://cran.r-project.org/web/packages/metan/vignettes","GPL-3",NA,"CRAN","Specialized analysis",7,"metan. (2024). Multi Environment Trials Analysis. R package version 1.19.0. https://doi.org/10.32614/CRAN.package.metan","Tiago Olivoto [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0002-0241-9636>)"
"102","meteorits","Mixture-of-Experts Modeling for Complex Non-Normal Distributions","10.32614/CRAN.package.meteorits","R",2020-01-10,"https://cran.r-project.org/web/packages/meteorits/index.html","https://cran.r-project.org/web/packages/meteorits/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"meteorits. (2020). Mixture-of-Experts Modeling for Complex Non-Normal Distributions. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.meteorits","Faicel Chamroukhi [aut] (ORCID:
    <https://orcid.org/0000-0002-5894-3103>),
  Florian Lecocq [aut, trl, cre] (R port),
  Marius Bartcus [aut, trl] (R port)"
"103","MGMS2","'MGMS2' for Polymicrobial Samples","10.32614/CRAN.package.MGMS2","R",2020-04-24,"https://cran.r-project.org/web/packages/MGMS2/index.html","https://cran.r-project.org/web/packages/MGMS2/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"MGMS2. (2020). 'MGMS2' for Polymicrobial Samples. R package version 1.0.2. https://doi.org/10.32614/CRAN.package.MGMS2","So Young Ryu [aut] (ORCID: <https://orcid.org/0000-0003-2347-7015>),
  George Wendt [cre] (ORCID: <https://orcid.org/0000-0003-3608-9601>)"
"104","MIC","Analysis of Antimicrobial Minimum Inhibitory Concentration Data","10.32614/CRAN.package.MIC","R",2025-06-05,"https://cran.r-project.org/web/packages/MIC/index.html","https://cran.r-project.org/web/packages/MIC/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"MIC. (2025). Analysis of Antimicrobial Minimum Inhibitory Concentration Data. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.MIC","Alessandro Gerada [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0002-6743-4271>)"
"105","MicrobialGrowth","Estimates Growth Parameters from Models and Plots the Curve","10.32614/CRAN.package.MicrobialGrowth","R",2025-03-10,"https://cran.r-project.org/web/packages/MicrobialGrowth/index.html","https://cran.r-project.org/web/packages/MicrobialGrowth/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"MicrobialGrowth. (2025). Estimates Growth Parameters from Models and Plots the Curve. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.MicrobialGrowth","Florentin L'Homme [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9684-3085>),
  Clarisse Breard [aut] (ORCID: <https://orcid.org/0009-0007-5310-7599>)"
"106","microbiomeMQC","Calculate 4 Key Reporting Measures","10.32614/CRAN.package.microbiomeMQC","R",2024-09-16,"https://cran.r-project.org/web/packages/microbiomeMQC/index.html","https://cran.r-project.org/web/packages/microbiomeMQC/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"microbiomeMQC. (2024). Calculate 4 Key Reporting Measures. R package version 1.0.2. https://doi.org/10.32614/CRAN.package.microbiomeMQC","Jacob Dehinsilu [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9041-970X>),
  Ravneet Bhuller [aut]"
"107","MicrobiomeStat","Statistical Methods for Microbiome Compositional Data","10.32614/CRAN.package.MicrobiomeStat","R",2024-04-01,"https://cran.r-project.org/web/packages/MicrobiomeStat/index.html","https://cran.r-project.org/web/packages/MicrobiomeStat/vignettes","GPL-3",NA,"CRAN","Metagenomics and community analysis",0,"MicrobiomeStat. (2024). Statistical Methods for Microbiome Compositional Data. R package version 1.2. https://doi.org/10.32614/CRAN.package.MicrobiomeStat","Xianyang Zhang [aut],
  Jun Chen [aut, cre],
  Huijuan Zhou [ctb]"
"108","MicrobiomeSurv","Biomarker Validation for Microbiome-Based Survival
Classification and Prediction","10.32614/CRAN.package.MicrobiomeSurv","R",2023-10-12,"https://cran.r-project.org/web/packages/MicrobiomeSurv/index.html","https://cran.r-project.org/web/packages/MicrobiomeSurv/vignettes","GPL-3",NA,"CRAN","Metagenomics and community analysis",0,"MicrobiomeSurv. (2023). Biomarker Validation for Microbiome-Based Survival
Classification and Prediction. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.MicrobiomeSurv","Thi Huyen Nguyen [aut, cre],
  Olajumoke Evangelina Owokotomo [aut],
  Ziv Shkedy [aut]"
"109","microeco","Microbial Community Ecology Data Analysis","10.32614/CRAN.package.microeco","R",2025-05-18,"https://cran.r-project.org/web/packages/microeco/index.html","https://cran.r-project.org/web/packages/microeco/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"microeco. (2025). Microbial Community Ecology Data Analysis. R package version 1.15.0. https://doi.org/10.32614/CRAN.package.microeco","Chi Liu [aut, cre],
  Felipe R. P. Mansoldo [ctb],
  Minjie Yao [ctb],
  Xiangzhen Li [ctb]"
"110","MicroNiche","Microbial Niche Measurements","10.32614/CRAN.package.MicroNiche","R",2020-01-30,"https://cran.r-project.org/web/packages/MicroNiche/index.html","https://cran.r-project.org/web/packages/MicroNiche/vignettes","GPL-2",NA,"CRAN","Specialized analysis",1,"MicroNiche. (2020). Microbial Niche Measurements. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.MicroNiche","Damien Finn [aut, cre]"
"111","micropan","Microbial Pan-Genome Analysis","10.32614/CRAN.package.micropan","R",2020-07-15,"https://cran.r-project.org/web/packages/micropan/index.html","https://cran.r-project.org/web/packages/micropan/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"micropan. (2020). Microbial Pan-Genome Analysis. R package version 2.1. https://doi.org/10.32614/CRAN.package.micropan","Lars Snipen and Kristian Hovde Liland"
"112","microPop","Process-Based Modelling of Microbial Populations","10.32614/CRAN.package.microPop","R",2022-02-03,"https://cran.r-project.org/web/packages/microPop/index.html","https://cran.r-project.org/web/packages/microPop/vignettes","GPL-3 | file LICENSE",NA,"CRAN","Specialized analysis",0,"microPop. (2022). Process-Based Modelling of Microbial Populations. R package version 1.6. https://doi.org/10.32614/CRAN.package.microPop","Helen Kettle [aut, cre]"
"113","microseq","Basic Biological Sequence Handling","10.32614/CRAN.package.microseq","R",2023-08-21,"https://cran.r-project.org/web/packages/microseq/index.html","https://cran.r-project.org/web/packages/microseq/vignettes","GPL-2",NA,"CRAN","Sequence Analysis",0,"microseq. (2023). Basic Biological Sequence Handling. R package version 2.1.6. https://doi.org/10.32614/CRAN.package.microseq","Lars Snipen, Kristian Hovde Liland"
"114","MIDASim","Simulating Realistic Microbiome Data using 'MIDASim'","10.32614/CRAN.package.MIDASim","R",2025-07-05,"https://cran.r-project.org/web/packages/MIDASim/index.html","https://cran.r-project.org/web/packages/MIDASim/vignettes","GPL-2",NA,"CRAN","Metagenomics and community analysis",0,"MIDASim. (2025). Simulating Realistic Microbiome Data using 'MIDASim'. R package version 2.0. https://doi.org/10.32614/CRAN.package.MIDASim","Mengyu He [aut, cre]"
"115","miLAG","Calculates Microbial Lag Duration (on the Population Level) from
Provided Growth Curve Data","10.32614/CRAN.package.miLAG","R",2025-01-18,"https://cran.r-project.org/web/packages/miLAG/index.html","https://cran.r-project.org/web/packages/miLAG/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"miLAG. (2025). Calculates Microbial Lag Duration (on the Population Level) from
Provided Growth Curve Data. R package version 1.0.5. https://doi.org/10.32614/CRAN.package.miLAG","Bogna Smug [aut, cre] (ORCID: <https://orcid.org/0000-0001-9364-163X>)"
"116","miLineage","Association Tests for Microbial Lineages on a Taxonomic Tree","10.32614/CRAN.package.miLineage","R",2018-03-23,"https://cran.r-project.org/web/packages/miLineage/index.html","https://cran.r-project.org/web/packages/miLineage/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"miLineage. (2018). Association Tests for Microbial Lineages on a Taxonomic Tree. R package version 2.1. https://doi.org/10.32614/CRAN.package.miLineage","Zheng-Zheng Tang"
"117","MIMER","Data Wrangling for Antimicrobial Resistance Studies","10.32614/CRAN.package.MIMER","R",2025-06-24,"https://cran.r-project.org/web/packages/MIMER/index.html","https://cran.r-project.org/web/packages/MIMER/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"MIMER. (2025). Data Wrangling for Antimicrobial Resistance Studies. R package version 1.0.4. https://doi.org/10.32614/CRAN.package.MIMER","Anoop Velluva [aut, cre] (ORCID:
    <https://orcid.org/0009-0001-6198-6016>),
  Alessandro Gerada [ctb] (ORCID:
    <https://orcid.org/0000-0002-6743-4271>),
  Alexander Howard [ctb] (ORCID: <https://orcid.org/0000-0002-4195-6821>)"
"118","miniLNM","Miniature Logistic-Normal Multinomial Models","10.32614/CRAN.package.miniLNM","R",2024-09-13,"https://cran.r-project.org/web/packages/miniLNM/index.html","https://cran.r-project.org/web/packages/miniLNM/vignettes","CC0",NA,"CRAN","Specialized analysis",0,"miniLNM. (2024). Miniature Logistic-Normal Multinomial Models. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.miniLNM","Kris Sankaran [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-9415-1971>)"
"119","minSNPs","Resolution-Optimised SNPs Searcher","10.32614/CRAN.package.minSNPs","R",2024-03-05,"https://cran.r-project.org/web/packages/minSNPs/index.html","https://cran.r-project.org/web/packages/minSNPs/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"minSNPs. (2024). Resolution-Optimised SNPs Searcher. R package version 0.2.0. https://doi.org/10.32614/CRAN.package.minSNPs","Ludwig Kian Soon Hoon [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-2310-3403>),
  Peter Shaw [aut, ctb] (ORCID: <https://orcid.org/0000-0002-3187-8938>),
  Phil Giffard [aut, ctb] (ORCID:
    <https://orcid.org/0000-0002-3030-9127>)"
"120","MiRKAT","Microbiome Regression-Based Kernel Association Tests","10.32614/CRAN.package.MiRKAT","R",2023-02-17,"https://cran.r-project.org/web/packages/MiRKAT/index.html","https://cran.r-project.org/web/packages/MiRKAT/vignettes","GPL (>= 2)",NA,"CRAN","Metagenomics and community analysis",0,"MiRKAT. (2023). Microbiome Regression-Based Kernel Association Tests. R package version 1.2.3. https://doi.org/10.32614/CRAN.package.MiRKAT","Anna Plantinga [aut, cre],
  Nehemiah Wilson [aut, ctb],
  Haotian Zheng [aut, ctb],
  Tianying Wang [aut, ctb],
  Xiang Zhan [aut, ctb],
  Michael Wu [aut],
  Ni Zhao [aut, ctb],
  Jun Chen [aut]"
"121","MiSPU","Microbiome Based Sum of Powered Score (MiSPU) Tests","10.32614/CRAN.package.MiSPU","R",2016-03-18,"https://cran.r-project.org/web/packages/MiSPU/index.html","https://cran.r-project.org/web/packages/MiSPU/vignettes","GPL-2",NA,"CRAN","Metagenomics and community analysis",0,"MiSPU. (2016). Microbiome Based Sum of Powered Score (MiSPU) Tests. R package version 1.0. https://doi.org/10.32614/CRAN.package.MiSPU","Chong Wu, Wei Pan"
"122","MixviR","Analysis and Exploration of Mixed Microbial Genomic Samples","10.32614/CRAN.package.MixviR","R",2022-10-22,"https://cran.r-project.org/web/packages/MixviR/index.html","https://cran.r-project.org/web/packages/MixviR/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"MixviR. (2022). Analysis and Exploration of Mixed Microbial Genomic Samples. R package version 3.5.0. https://doi.org/10.32614/CRAN.package.MixviR","Michael Sovic [aut, ccp, cre] (ORCID:
    <https://orcid.org/0000-0002-8556-3704>),
  Francesca Savona [res],
  Zuzana Bohrerova [res, fnd],
  Seth Faith [ccp, ctb] (ORDIC: 0000-0002-0441-9859)"
"123","MMINP","Microbe-Metabolite Interactions-Based Metabolic Profiles
Predictor","10.32614/CRAN.package.MMINP","R",2022-07-04,"https://cran.r-project.org/web/packages/MMINP/index.html","https://cran.r-project.org/web/packages/MMINP/vignettes","GPL (>= 3.0)",NA,"CRAN","Specialized analysis",0,"MMINP. (2022). Microbe-Metabolite Interactions-Based Metabolic Profiles
Predictor. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.MMINP","Wenli Tang [aut, cre] (ORCID: <https://orcid.org/0000-0002-6141-5854>),
  Guangchuang Yu [aut, ths] (ORCID:
    <https://orcid.org/0000-0002-6485-8781>)"
"124","Mondrian","A Simple Graphical Representation of the Relative Occurrence and
Co-Occurrence of Events","10.32614/CRAN.package.Mondrian","R",2025-04-07,"https://cran.r-project.org/web/packages/Mondrian/index.html","https://cran.r-project.org/web/packages/Mondrian/vignettes","GPL (>= 2.0)",NA,"CRAN","Specialized analysis",0,"Mondrian. (2025). A Simple Graphical Representation of the Relative Occurrence and
Co-Occurrence of Events. R package version 1.1.2. https://doi.org/10.32614/CRAN.package.Mondrian","Aurélie Siberchicot [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-7638-8318>),
  Delphine Charif [aut],
  Gabriel Terraz [aut],
  Fabrice Vavre [aut]"
"125","MPN","Most Probable Number and Other Microbial Enumeration Techniques","10.32614/CRAN.package.MPN","R",2024-10-22,"https://cran.r-project.org/web/packages/MPN/index.html","https://cran.r-project.org/web/packages/MPN/vignettes","Unlimited",NA,"CRAN","Specialized analysis",17,"MPN. (2024). Most Probable Number and Other Microbial Enumeration Techniques. R package version 0.4.0. https://doi.org/10.32614/CRAN.package.MPN","Martine Ferguson [aut] (original R code),
  John Ihrie [cre, aut]"
"126","msamp","Estimate Sample Size to Detect Bacterial Contamination in a
Product Lot","10.32614/CRAN.package.msamp","R",2022-10-17,"https://cran.r-project.org/web/packages/msamp/index.html","https://cran.r-project.org/web/packages/msamp/vignettes","Unlimited",NA,"CRAN","Specialized analysis",0,"msamp. (2022). Estimate Sample Size to Detect Bacterial Contamination in a
Product Lot. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.msamp","Martine Ferguson [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-4479-3674>)"
"127","multimedia","Multimodal Mediation Analysis","10.32614/CRAN.package.multimedia","R",2024-09-18,"https://cran.r-project.org/web/packages/multimedia/index.html","https://cran.r-project.org/web/packages/multimedia/vignettes","CC0",NA,"CRAN","Specialized analysis",0,"multimedia. (2024). Multimodal Mediation Analysis. R package version 0.2.0. https://doi.org/10.32614/CRAN.package.multimedia","Kris Sankaran [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-9415-1971>),
  Hanying Jiang [aut]"
"128","mycobacrvR","Integrative Immunoinformatics for Mycobacterial Diseases in R
Platform","10.32614/CRAN.package.mycobacrvR","R",2022-05-13,"https://cran.r-project.org/web/packages/mycobacrvR/index.html","https://cran.r-project.org/web/packages/mycobacrvR/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"mycobacrvR. (2022). Integrative Immunoinformatics for Mycobacterial Diseases in R
Platform. R package version 1.1. https://doi.org/10.32614/CRAN.package.mycobacrvR","Deepika Kulshreshtha, Rupanjali Chaudhuri, Surabhi Seth, S. Ramachandran"
"129","mycolorsTB","Color Palettes for Mycobacterium Tuberculosis Data Visualization","10.32614/CRAN.package.mycolorsTB","R",2025-07-16,"https://cran.r-project.org/web/packages/mycolorsTB/index.html","https://cran.r-project.org/web/packages/mycolorsTB/vignettes","GPL-3",NA,"CRAN","Visualization Tools",0,"mycolorsTB. (2025). Color Palettes for Mycobacterium Tuberculosis Data Visualization. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.mycolorsTB","Paula Ruiz-Rodriguez [aut, cre]"
"130","netgwas","Network-Based Genome Wide Association Studies","10.32614/CRAN.package.netgwas","R",2024-03-19,"https://cran.r-project.org/web/packages/netgwas/index.html","https://cran.r-project.org/web/packages/netgwas/vignettes","GPL-3",NA,"CRAN","Specialized analysis",6,"netgwas. (2024). Network-Based Genome Wide Association Studies. R package version 1.14.3. https://doi.org/10.32614/CRAN.package.netgwas","Pariya Behrouzi [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-6762-5433>),
  Ernst C. Wit [ctb]"
"131","OkNNE","A k-Nearest Neighbours Ensemble via Optimal Model Selection for
Regression","10.32614/CRAN.package.OkNNE","R",2022-12-19,"https://cran.r-project.org/web/packages/OkNNE/index.html","https://cran.r-project.org/web/packages/OkNNE/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"OkNNE. (2022). A k-Nearest Neighbours Ensemble via Optimal Model Selection for
Regression. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.OkNNE","Amjad Ali [aut, cre, cph],
  Zardad Khan [aut, ths],
  Muhammad Hamraz [aut]"
"132","omicsTools","Omics Data Process Toolbox","10.32614/CRAN.package.omicsTools","R",2023-07-03,"https://cran.r-project.org/web/packages/omicsTools/index.html","https://cran.r-project.org/web/packages/omicsTools/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"omicsTools. (2023). Omics Data Process Toolbox. R package version 1.0.5. https://doi.org/10.32614/CRAN.package.omicsTools","Yaoxiang Li [cre, aut] (ORCID: <https://orcid.org/0000-0001-9200-1016>),
  Zihao Zhang [aut],
  Meth Jayatilake [aut],
  Amrita Cheema [aut] (ORCID: <https://orcid.org/0000-0003-4877-7583>)"
"133","omixVizR","A Toolkit for Omics Data Visualization","10.32614/CRAN.package.omixVizR","R",2025-07-20,"https://cran.r-project.org/web/packages/omixVizR/index.html","https://cran.r-project.org/web/packages/omixVizR/vignettes","MIT + file LICENSE",NA,"CRAN","Visualization Tools",0,"omixVizR. (2025). A Toolkit for Omics Data Visualization. R package version 1.1.3. https://doi.org/10.32614/CRAN.package.omixVizR","Zhen Lu [aut, cre] (ORCID: <https://orcid.org/0000-0002-3481-6310>)"
"134","oncoPredict","Drug Response Modeling and Biomarker Discovery","10.32614/CRAN.package.oncoPredict","R",2024-04-05,"https://cran.r-project.org/web/packages/oncoPredict/index.html","https://cran.r-project.org/web/packages/oncoPredict/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"oncoPredict. (2024). Drug Response Modeling and Biomarker Discovery. R package version 1.2. https://doi.org/10.32614/CRAN.package.oncoPredict","Danielle Maeser [aut] (ORCID: <https://orcid.org/0000-0002-3890-887X>),
  Robert Gruener [aut, cre]"
