name,author,summary,doi,citation,apa_citation,language,release_date,docs,tutorials,license,stars,source,Category,Citation_Count,readme_has_tags
iSEEtree,Giulio Benedetti,Interactive visualisation for microbiome data,10.18129/B9.bioc.iSEEtree,iSEEtree. (2025). Interactive visualisation for microbiome data. R package version 1.2.0. https://doi.org/10.18129/B9.bioc.iSEEtree,iSEEtree. (2025). Interactive visualisation for microbiome data. R package version 1.2.0. https://doi.org/10.18129/B9.bioc.iSEEtree,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/iSEEtree.html,https://bioconductor.org/packages/release/bioc/vignettes/iSEEtree/inst/doc/,NA,NA,Bioconductor,Visualization Tools,NA,NA
lefser,Sehyun Oh,"R implementation of the LEfSE method for microbiome biomarker
discovery",10.18129/B9.bioc.lefser,"lefser. (2025). R implementation of the LEfSE method for microbiome biomarker
discovery. R package version 1.18.0. https://doi.org/10.18129/B9.bioc.lefser","lefser. (2025). R implementation of the LEfSE method for microbiome biomarker
discovery. R package version 1.18.0. https://doi.org/10.18129/B9.bioc.lefser",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/lefser.html,https://bioconductor.org/packages/release/bioc/vignettes/lefser/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
Maaslin2,Himel Mallick,"""Multivariable Association Discovery in Population-scale
Meta-omics Studies""",10.18129/B9.bioc.Maaslin2,"Maaslin2. (2025). ""Multivariable Association Discovery in Population-scale
Meta-omics Studies"". R package version 1.22.0. https://doi.org/10.18129/B9.bioc.Maaslin2","Maaslin2. (2025). ""Multivariable Association Discovery in Population-scale
Meta-omics Studies"". R package version 1.22.0. https://doi.org/10.18129/B9.bioc.Maaslin2",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/Maaslin2.html,https://bioconductor.org/packages/release/bioc/vignettes/Maaslin2/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
maaslin3,William Nickols,"""Refining and extending generalized multivariate linear models
for meta-omic association discovery""",10.18129/B9.bioc.maaslin3,"maaslin3. (2025). ""Refining and extending generalized multivariate linear models
for meta-omic association discovery"". R package version 1.0.0. https://doi.org/10.18129/B9.bioc.maaslin3","maaslin3. (2025). ""Refining and extending generalized multivariate linear models
for meta-omic association discovery"". R package version 1.0.0. https://doi.org/10.18129/B9.bioc.maaslin3",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/maaslin3.html,https://bioconductor.org/packages/release/bioc/vignettes/maaslin3/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
MBECS,Michael Olbrich,"Evaluation and correction of batch effects in microbiome
data-sets",10.18129/B9.bioc.MBECS,"MBECS. (2025). Evaluation and correction of batch effects in microbiome
data-sets. R package version 1.12.0. https://doi.org/10.18129/B9.bioc.MBECS","MBECS. (2025). Evaluation and correction of batch effects in microbiome
data-sets. R package version 1.12.0. https://doi.org/10.18129/B9.bioc.MBECS",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/MBECS.html,https://bioconductor.org/packages/release/bioc/vignettes/MBECS/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
mbQTL,Mercedeh Movassagh,mbQTL: A package for SNP-Taxa mGWAS analysis,10.18129/B9.bioc.mbQTL,mbQTL. (2025). mbQTL: A package for SNP-Taxa mGWAS analysis. R package version 1.8.0. https://doi.org/10.18129/B9.bioc.mbQTL,mbQTL. (2025). mbQTL: A package for SNP-Taxa mGWAS analysis. R package version 1.8.0. https://doi.org/10.18129/B9.bioc.mbQTL,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/mbQTL.html,https://bioconductor.org/packages/release/bioc/vignettes/mbQTL/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
metabinR,Anestis Gkanogiannis,Abundance and Compositional Based Binning of Metagenomes,10.18129/B9.bioc.metabinR,metabinR. (2025). Abundance and Compositional Based Binning of Metagenomes. R package version 1.10.0. https://doi.org/10.18129/B9.bioc.metabinR,metabinR. (2025). Abundance and Compositional Based Binning of Metagenomes. R package version 1.10.0. https://doi.org/10.18129/B9.bioc.metabinR,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/metabinR.html,https://bioconductor.org/packages/release/bioc/vignettes/metabinR/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
metagenomeSeq,Joseph Nathaniel Paulson,Statistical analysis for sparse high-throughput sequencing,10.18129/B9.bioc.metagenomeSeq,metagenomeSeq. (2025). Statistical analysis for sparse high-throughput sequencing. R package version 1.50.0. https://doi.org/10.18129/B9.bioc.metagenomeSeq,metagenomeSeq. (2025). Statistical analysis for sparse high-throughput sequencing. R package version 1.50.0. https://doi.org/10.18129/B9.bioc.metagenomeSeq,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/metagenomeSeq.html,https://bioconductor.org/packages/release/bioc/vignettes/metagenomeSeq/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
MGnifyR,Tuomas Borman,R interface to EBI MGnify metagenomics resource,10.18129/B9.bioc.MGnifyR,MGnifyR. (2025). R interface to EBI MGnify metagenomics resource. R package version 1.4.0. https://doi.org/10.18129/B9.bioc.MGnifyR,MGnifyR. (2025). R interface to EBI MGnify metagenomics resource. R package version 1.4.0. https://doi.org/10.18129/B9.bioc.MGnifyR,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/MGnifyR.html,https://bioconductor.org/packages/release/bioc/vignettes/MGnifyR/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
mia,Tuomas Borman,Microbiome analysis,10.18129/B9.bioc.mia,mia. (2025). Microbiome analysis. R package version 1.16.1. https://doi.org/10.18129/B9.bioc.mia,mia. (2025). Microbiome analysis. R package version 1.16.1. https://doi.org/10.18129/B9.bioc.mia,R,2025-07-13,https://bioconductor.org/packages/release/bioc/html/mia.html,https://bioconductor.org/packages/release/bioc/vignettes/mia/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
miaDash,Giulio Benedetti,"Shiny app for the interactive analysis and exploration of
microbiome data",10.18129/B9.bioc.miaDash,"miaDash. (2025). Shiny app for the interactive analysis and exploration of
microbiome data. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.miaDash","miaDash. (2025). Shiny app for the interactive analysis and exploration of
microbiome data. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.miaDash",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/miaDash.html,https://bioconductor.org/packages/release/bioc/vignettes/miaDash/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
miaSim,Yagmur Simsek,Microbiome Data Simulation,10.18129/B9.bioc.miaSim,miaSim. (2025). Microbiome Data Simulation. R package version 1.14.0. https://doi.org/10.18129/B9.bioc.miaSim,miaSim. (2025). Microbiome Data Simulation. R package version 1.14.0. https://doi.org/10.18129/B9.bioc.miaSim,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/miaSim.html,https://bioconductor.org/packages/release/bioc/vignettes/miaSim/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
miaViz,Tuomas Borman,Microbiome Analysis Plotting and Visualization,10.18129/B9.bioc.miaViz,miaViz. (2025). Microbiome Analysis Plotting and Visualization. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.miaViz,miaViz. (2025). Microbiome Analysis Plotting and Visualization. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.miaViz,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/miaViz.html,https://bioconductor.org/packages/release/bioc/vignettes/miaViz/inst/doc/,NA,NA,Bioconductor,Visualization Tools,NA,NA
microbiome,Leo Lahti,Microbiome Analytics,10.18129/B9.bioc.microbiome,microbiome. (2025). Microbiome Analytics. R package version 1.30.0. https://doi.org/10.18129/B9.bioc.microbiome,microbiome. (2025). Microbiome Analytics. R package version 1.30.0. https://doi.org/10.18129/B9.bioc.microbiome,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/microbiome.html,https://bioconductor.org/packages/release/bioc/vignettes/microbiome/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
microbiomeDASim,Justin Williams,Microbiome Differential Abundance Simulation,10.18129/B9.bioc.microbiomeDASim,microbiomeDASim. (2025). Microbiome Differential Abundance Simulation. R package version 1.22.0. https://doi.org/10.18129/B9.bioc.microbiomeDASim,microbiomeDASim. (2025). Microbiome Differential Abundance Simulation. R package version 1.22.0. https://doi.org/10.18129/B9.bioc.microbiomeDASim,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/microbiomeDASim.html,https://bioconductor.org/packages/release/bioc/vignettes/microbiomeDASim/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
microbiomeExplorer,Joseph Paulson,Microbiome Exploration App,10.18129/B9.bioc.microbiomeExplorer,microbiomeExplorer. (2025). Microbiome Exploration App. R package version 1.18.0. https://doi.org/10.18129/B9.bioc.microbiomeExplorer,microbiomeExplorer. (2025). Microbiome Exploration App. R package version 1.18.0. https://doi.org/10.18129/B9.bioc.microbiomeExplorer,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/microbiomeExplorer.html,https://bioconductor.org/packages/release/bioc/vignettes/microbiomeExplorer/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
MicrobiomeProfiler,Guangchuang Yu,An R/shiny package for microbiome functional enrichment analysis,10.18129/B9.bioc.MicrobiomeProfiler,MicrobiomeProfiler. (2025). An R/shiny package for microbiome functional enrichment analysis. R package version 1.14.0. https://doi.org/10.18129/B9.bioc.MicrobiomeProfiler,MicrobiomeProfiler. (2025). An R/shiny package for microbiome functional enrichment analysis. R package version 1.14.0. https://doi.org/10.18129/B9.bioc.MicrobiomeProfiler,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/MicrobiomeProfiler.html,https://bioconductor.org/packages/release/bioc/vignettes/MicrobiomeProfiler/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
MicrobiotaProcess,Shuangbin Xu,"A comprehensive R package for managing and analyzing microbiome
and other ecological data within the tidy framework",10.18129/B9.bioc.MicrobiotaProcess,"MicrobiotaProcess. (2025). A comprehensive R package for managing and analyzing microbiome
and other ecological data within the tidy framework. R package version 1.20.1. https://doi.org/10.18129/B9.bioc.MicrobiotaProcess","MicrobiotaProcess. (2025). A comprehensive R package for managing and analyzing microbiome
and other ecological data within the tidy framework. R package version 1.20.1. https://doi.org/10.18129/B9.bioc.MicrobiotaProcess",R,2025-05-11,https://bioconductor.org/packages/release/bioc/html/MicrobiotaProcess.html,https://bioconductor.org/packages/release/bioc/vignettes/MicrobiotaProcess/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
mina,Rui Guan,Microbial community dIversity and Network Analysis,10.18129/B9.bioc.mina,mina. (2025). Microbial community dIversity and Network Analysis. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.mina,mina. (2025). Microbial community dIversity and Network Analysis. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.mina,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/mina.html,https://bioconductor.org/packages/release/bioc/vignettes/mina/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
mixOmics,Kim-Anh Le Cao,Omics Data Integration Project,10.18129/B9.bioc.mixOmics,mixOmics. (2025). Omics Data Integration Project. R package version 6.32.0. https://doi.org/10.18129/B9.bioc.mixOmics,mixOmics. (2025). Omics Data Integration Project. R package version 6.32.0. https://doi.org/10.18129/B9.bioc.mixOmics,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/mixOmics.html,https://bioconductor.org/packages/release/bioc/vignettes/mixOmics/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
MMUPHin,Siyuan Ma,"Meta-analysis Methods with Uniform Pipeline for Heterogeneity in
Microbiome Studies",10.18129/B9.bioc.MMUPHin,"MMUPHin. (2025). Meta-analysis Methods with Uniform Pipeline for Heterogeneity in
Microbiome Studies. R package version 1.22.0. https://doi.org/10.18129/B9.bioc.MMUPHin","MMUPHin. (2025). Meta-analysis Methods with Uniform Pipeline for Heterogeneity in
Microbiome Studies. R package version 1.22.0. https://doi.org/10.18129/B9.bioc.MMUPHin",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/MMUPHin.html,https://bioconductor.org/packages/release/bioc/vignettes/MMUPHin/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
PathoStat,Solaiappan Manimaran,PathoStat Statistical Microbiome Analysis Package,10.18129/B9.bioc.PathoStat,PathoStat. (2025). PathoStat Statistical Microbiome Analysis Package. R package version 1.34.0. https://doi.org/10.18129/B9.bioc.PathoStat,PathoStat. (2025). PathoStat Statistical Microbiome Analysis Package. R package version 1.34.0. https://doi.org/10.18129/B9.bioc.PathoStat,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/PathoStat.html,https://bioconductor.org/packages/release/bioc/vignettes/PathoStat/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
philr,Justin Silverman,"Phylogenetic partitioning based ILR transform for metagenomics
data",10.18129/B9.bioc.philr,"philr. (2025). Phylogenetic partitioning based ILR transform for metagenomics
data. R package version 1.34.0. https://doi.org/10.18129/B9.bioc.philr","philr. (2025). Phylogenetic partitioning based ILR transform for metagenomics
data. R package version 1.34.0. https://doi.org/10.18129/B9.bioc.philr",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/philr.html,https://bioconductor.org/packages/release/bioc/vignettes/philr/inst/doc/,NA,NA,Bioconductor,Phylogenetic and evolutionary analysis,NA,NA
phyloseq,Paul J. McMurdie,Handling and analysis of high-throughput microbiome census data,10.18129/B9.bioc.phyloseq,phyloseq. (2025). Handling and analysis of high-throughput microbiome census data. R package version 1.52.0. https://doi.org/10.18129/B9.bioc.phyloseq,phyloseq. (2025). Handling and analysis of high-throughput microbiome census data. R package version 1.52.0. https://doi.org/10.18129/B9.bioc.phyloseq,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/phyloseq.html,https://bioconductor.org/packages/release/bioc/vignettes/phyloseq/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
PLSDAbatch,Yiwen Wang,PLSDA-batch,10.18129/B9.bioc.PLSDAbatch,PLSDAbatch. (2025). PLSDA-batch. R package version 1.4.0. https://doi.org/10.18129/B9.bioc.PLSDAbatch,PLSDAbatch. (2025). PLSDA-batch. R package version 1.4.0. https://doi.org/10.18129/B9.bioc.PLSDAbatch,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/PLSDAbatch.html,https://bioconductor.org/packages/release/bioc/vignettes/PLSDAbatch/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
QSutils,Mercedes Guerrero-Murillo,Quasispecies Diversity,10.18129/B9.bioc.QSutils,QSutils. (2025). Quasispecies Diversity. R package version 1.26.0. https://doi.org/10.18129/B9.bioc.QSutils,QSutils. (2025). Quasispecies Diversity. R package version 1.26.0. https://doi.org/10.18129/B9.bioc.QSutils,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/QSutils.html,https://bioconductor.org/packages/release/bioc/vignettes/QSutils/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
ramr,Oleksii Nikolaienko,"Detection of Rare Aberrantly Methylated Regions in Array and NGS
Data",10.18129/B9.bioc.ramr,"ramr. (2025). Detection of Rare Aberrantly Methylated Regions in Array and NGS
Data. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.ramr","ramr. (2025). Detection of Rare Aberrantly Methylated Regions in Array and NGS
Data. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.ramr",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/ramr.html,https://bioconductor.org/packages/release/bioc/vignettes/ramr/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
Rbec,Pengfan Zhang,"Rbec: a tool for analysis of amplicon sequencing data from
synthetic microbial communities",10.18129/B9.bioc.Rbec,"Rbec. (2025). Rbec: a tool for analysis of amplicon sequencing data from
synthetic microbial communities. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.Rbec","Rbec. (2025). Rbec: a tool for analysis of amplicon sequencing data from
synthetic microbial communities. R package version 1.16.0. https://doi.org/10.18129/B9.bioc.Rbec",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/Rbec.html,https://bioconductor.org/packages/release/bioc/vignettes/Rbec/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
RCM,Stijn Hawinkel,"Fit row-column association models with the negative binomial
distribution for the microbiome",10.18129/B9.bioc.RCM,"RCM. (2025). Fit row-column association models with the negative binomial
distribution for the microbiome. R package version 1.24.0. https://doi.org/10.18129/B9.bioc.RCM","RCM. (2025). Fit row-column association models with the negative binomial
distribution for the microbiome. R package version 1.24.0. https://doi.org/10.18129/B9.bioc.RCM",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/RCM.html,https://bioconductor.org/packages/release/bioc/vignettes/RCM/inst/doc/,NA,NA,Bioconductor,Metagenomics and community analysis,NA,NA
reconsi,Stijn Hawinkel,"Resampling Collapsed Null Distributions for Simultaneous
Inference",10.18129/B9.bioc.reconsi,"reconsi. (2025). Resampling Collapsed Null Distributions for Simultaneous
Inference. R package version 1.20.0. https://doi.org/10.18129/B9.bioc.reconsi","reconsi. (2025). Resampling Collapsed Null Distributions for Simultaneous
Inference. R package version 1.20.0. https://doi.org/10.18129/B9.bioc.reconsi",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/reconsi.html,https://bioconductor.org/packages/release/bioc/vignettes/reconsi/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
SIAMCAT,Konrad Zych,"Statistical Inference of Associations between Microbial
Communities And host phenoTypes",10.18129/B9.bioc.SIAMCAT,"SIAMCAT. (2025). Statistical Inference of Associations between Microbial
Communities And host phenoTypes. R package version 2.12.0. https://doi.org/10.18129/B9.bioc.SIAMCAT","SIAMCAT. (2025). Statistical Inference of Associations between Microbial
Communities And host phenoTypes. R package version 2.12.0. https://doi.org/10.18129/B9.bioc.SIAMCAT",R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/SIAMCAT.html,https://bioconductor.org/packages/release/bioc/vignettes/SIAMCAT/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
sscu,Yu Sun,Strength of Selected Codon Usage,10.18129/B9.bioc.sscu,sscu. (2025). Strength of Selected Codon Usage. R package version 2.38.0. https://doi.org/10.18129/B9.bioc.sscu,sscu. (2025). Strength of Selected Codon Usage. R package version 2.38.0. https://doi.org/10.18129/B9.bioc.sscu,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/sscu.html,https://bioconductor.org/packages/release/bioc/vignettes/sscu/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
TaxSEA,Feargal Ryan,Taxon Set Enrichment Analysis,10.18129/B9.bioc.TaxSEA,TaxSEA. (2025). Taxon Set Enrichment Analysis. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.TaxSEA,TaxSEA. (2025). Taxon Set Enrichment Analysis. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.TaxSEA,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/TaxSEA.html,https://bioconductor.org/packages/release/bioc/vignettes/TaxSEA/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
TrIdent,Jessie Maier,TrIdent - Transduction Identification,10.18129/B9.bioc.TrIdent,TrIdent. (2025). TrIdent - Transduction Identification. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.TrIdent,TrIdent. (2025). TrIdent - Transduction Identification. R package version 1.0.0. https://doi.org/10.18129/B9.bioc.TrIdent,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/TrIdent.html,https://bioconductor.org/packages/release/bioc/vignettes/TrIdent/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
Wrench,Senthil Kumar Muthiah,Wrench normalization for sparse count data,10.18129/B9.bioc.Wrench,Wrench. (2025). Wrench normalization for sparse count data. R package version 1.26.0. https://doi.org/10.18129/B9.bioc.Wrench,Wrench. (2025). Wrench normalization for sparse count data. R package version 1.26.0. https://doi.org/10.18129/B9.bioc.Wrench,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/Wrench.html,https://bioconductor.org/packages/release/bioc/vignettes/Wrench/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
zitools,Carlotta Meyring,Analysis of zero-inflated count data,10.18129/B9.bioc.zitools,zitools. (2025). Analysis of zero-inflated count data. R package version 1.2.0. https://doi.org/10.18129/B9.bioc.zitools,zitools. (2025). Analysis of zero-inflated count data. R package version 1.2.0. https://doi.org/10.18129/B9.bioc.zitools,R,2025-04-15,https://bioconductor.org/packages/release/bioc/html/zitools.html,https://bioconductor.org/packages/release/bioc/vignettes/zitools/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
CBEA,Quang Nguyen,Competitive Balances for Taxonomic Enrichment Analysis in R,10.18129/B9.bioc.CBEA,CBEA. (NA). Competitive Balances for Taxonomic Enrichment Analysis in R. R package version 1.8.0. https://doi.org/10.18129/B9.bioc.CBEA,CBEA. (NA). Competitive Balances for Taxonomic Enrichment Analysis in R. R package version 1.8.0. https://doi.org/10.18129/B9.bioc.CBEA,R,NA,https://bioconductor.org/packages/release/bioc/html/CBEA.html,https://bioconductor.org/packages/release/bioc/vignettes/CBEA/inst/doc/,NA,NA,Bioconductor,Specialized analysis,NA,NA
bakta,oschwengers,"Rapid & standardized annotation of bacterial genomes, MAGs & plasmids",10.1099/mgen.0.000685,"Schwengers, O., Jelonek, L., Dieckmann, M. A., Beyvers, S., Blom, J., & Goesmann, A. (2021). Bakta: rapid and standardized annotation of bacterial genomes via alignment-free sequence identification. Microbial Genomics, 7(11). https://doi.org/10.1099/mgen.0.000685","Schwengers, O., Jelonek, L., Dieckmann, M. A., Beyvers, S., Blom, J., & Goesmann, A. (2021). Bakta: rapid and standardized annotation of bacterial genomes via alignment-free sequence identification. Microbial Genomics, 7(11). https://doi.org/10.1099/mgen.0.000685",Python,2020-01-15T23:08:38Z,https://github.com/oschwengers/bakta,NA,NA,550,GitHub,Specialized analysis,NA,TRUE
GTDBTk,Ecogenomics,GTDB-Tk: a toolkit for assigning objective taxonomic classifications to bacterial and archaeal genomes.,NA,NA,NA,Python,2016-11-29T05:29:48Z,https://github.com/Ecogenomics/GTDBTk,NA,NA,542,GitHub,Specialized analysis,NA,TRUE
snippy,tseemann,:scissors: :zap: Rapid haploid variant calling and core genome alignment,NA,NA,NA,Perl,2014-05-15T01:56:12Z,https://github.com/tseemann/snippy,NA,NA,542,GitHub,Specialized analysis,NA,TRUE
PPanGGOLiN,labgem,Build a partitioned pangenome graph from microbial genomes,NA,NA,NA,Python,2017-10-20T12:25:15Z,https://github.com/labgem/PPanGGOLiN,NA,NA,278,GitHub,Specialized analysis,NA,TRUE
Scoary,AdmiralenOla,Pan-genome wide association studies,NA,NA,NA,Python,2016-02-03T13:05:18Z,https://github.com/AdmiralenOla/Scoary,NA,NA,202,GitHub,Specialized analysis,NA,TRUE
chewBBACA,B-UMMI,BSR-Based Allele Calling Algorithm,"10.1099/mgen.0.000166
repo",NA,NA,HTML,2017-08-04T14:06:28Z,https://github.com/B-UMMI/chewBBACA,NA,NA,148,GitHub,Specialized analysis,NA,TRUE
nullarbor,tseemann,":floppy_disk: :page_with_curl: ""Reads to report"" for public health and clinical microbiology",NA,NA,NA,Perl,2015-01-08T00:13:42Z,https://github.com/tseemann/nullarbor,NA,NA,140,GitHub,Specialized analysis,NA,TRUE
pyseer,mgalardini,"SEER, reimplemented in python 🐍🔮",NA,NA,NA,Python,2017-09-22T10:27:34Z,https://github.com/mgalardini/pyseer,NA,NA,124,GitHub,Specialized analysis,NA,TRUE
get_homologues,eead-csic-compbio,GET_HOMOLOGUES: a versatile software package for pan-genome analysis,NA,NA,NA,Perl,2015-11-26T14:42:05Z,https://github.com/eead-csic-compbio/get_homologues,NA,NA,119,GitHub,Specialized analysis,NA,TRUE
platon,oschwengers,Identification & characterization of bacterial plasmid-borne contigs from short-read draft assemblies.,"""10.1099/mgen.0.000398""
ver",NA,NA,Python,2019-06-19T09:21:04Z,https://github.com/oschwengers/platon,NA,NA,117,GitHub,Specialized analysis,NA,TRUE
pangraph,neherlab,A bioinformatic toolkit to align genome assemblies into pangenome graphs,NA,NA,NA,C,2020-06-28T10:46:15Z,https://github.com/neherlab/pangraph,NA,NA,114,GitHub,Specialized analysis,NA,TRUE
PopPUNK,bacpop,PopPUNK 👨‍🎤 (POPulation Partitioning Using Nucleotide Kmers),NA,NA,NA,Python,2018-01-09T14:33:39Z,https://github.com/bacpop/PopPUNK,NA,NA,100,GitHub,Specialized analysis,NA,TRUE
asap,oschwengers,"A scalable bacterial genome assembly, annotation and analysis pipeline","""10.1371/journal.pcbi.1007134""
ver",NA,NA,Groovy,2017-08-06T23:09:49Z,https://github.com/oschwengers/asap,NA,NA,74,GitHub,Specialized analysis,NA,TRUE
BIGSdb,kjolley,Bacterial Isolate Genome Sequence Database (BIGSdb): A platform for gene-by-gene bacterial population annotation and analysis.,NA,NA,NA,Perl,2014-06-06T16:36:36Z,https://github.com/kjolley/BIGSdb,NA,NA,71,GitHub,Sequence Analysis,NA,TRUE
CompareM2,cmkobel,🦠🧬🧑‍💻📇 Microbial genomes-to-report pipeline,NA,NA,NA,Python,2019-12-10T19:46:41Z,https://github.com/cmkobel/CompareM2,NA,NA,62,GitHub,Specialized analysis,NA,TRUE
bactmap,nf-core,A mapping-based pipeline for creating a phylogeny from bacterial whole genome sequences,NA,NA,NA,Nextflow,2019-06-09T11:11:37Z,https://github.com/nf-core/bactmap,NA,NA,60,GitHub,Sequence Analysis,NA,TRUE
Tome,EngqvistLab,A machine learning model for the prediction of optimal growth temperature of microorganisms and enzyme catalytic optima,NA,NA,NA,Python,2018-10-29T13:57:35Z,https://github.com/EngqvistLab/Tome,NA,NA,59,GitHub,Specialized analysis,NA,TRUE
awesome-phages,voorloopnul,"A curated list of phage related software and computational resources for phage scientists, bioinformaticians and enthusiasts.",NA,NA,NA,NA,2021-07-21T20:44:59Z,https://github.com/voorloopnul/awesome-phages,NA,NA,49,GitHub,Specialized analysis,NA,TRUE
MiniPhy,karel-brinda,Phylogenetic compression of extremely large genome collections [661k ↘𝟭𝟲𝗚𝗶𝗕 | BIGSIdata ↘𝟰𝟴𝗚𝗶𝗕 | AllTheBact'23 ↘𝟳𝟱𝗚𝗶𝗕],NA,NA,NA,Python,2021-07-23T16:03:18Z,https://github.com/karel-brinda/MiniPhy,NA,NA,41,GitHub,Phylogenetic and evolutionary analysis,NA,TRUE
Phylign,karel-brinda,Alignment against all pre-2019 bacteria on laptops within a few hours (former MOF-Search),NA,NA,NA,Python,2021-12-16T05:36:22Z,https://github.com/karel-brinda/Phylign,NA,NA,37,GitHub,Specialized analysis,NA,TRUE
prophyle,prophyle,"Accurate, resource-frugal and deterministic DNA sequence classifier.",NA,NA,NA,Python,2016-01-05T16:03:04Z,https://github.com/prophyle/prophyle,NA,NA,36,GitHub,Sequence Analysis,NA,TRUE
phastaf,tseemann,Identify phage regions in bacterial genomes for masking purposes,NA,NA,NA,Perl,2019-05-17T01:37:17Z,https://github.com/tseemann/phastaf,NA,NA,34,GitHub,Specialized analysis,NA,TRUE
socru,quadram-institute-bioscience,Order and orientation of complete bacterial genomes,NA,NA,NA,Python,2019-01-07T15:50:52Z,https://github.com/quadram-institute-bioscience/socru,NA,NA,28,GitHub,Specialized analysis,NA,TRUE
